Ana;abcd;ana@example.com;28;Chile;foto2.jpg;amplia;formula 1;6
juan miguel;Juanmi2006@;jmbuitragog@unbosque.edu.co;26;Somalia;imageUser/juan miguel.png; 3;FIFA;24
juan David;JuanDavid123@;jdilopezg@unbosque.edu.co;15;Yemen;imageUser/juan David.jpg; 5;Formula1;9
Juan Diegi;JuanDiego123@;juandi2006yadi@gmail.com;36;Mali;imageUser/Juan Diegi.png; 9;Formula1;12
Jairo Alejandro;JairoAlejandro123@;jgomezvi@unbosque.edu.co;41;Panama;imageUser/Jairo Alejandro.png; 5;Gran Turismo;13
Enrique;Enrique123@;juanmibuga@gmail.com;42;Philippines;imageUser/Enrique.png; 5;Rocket League;15
Marco Polo;MarcoPolo123@;jgomezvi@unbosque.edu.co;50;Spain;imageUser/Marco Polo.png; 6;FIFA;15
Maria Jose;MariaJose123@;jdilopezg@unbosque.edu.co;41;Mali;imageUser/Maria Jose.png; 4;Formula1;28
Alejandra;Alejandra123@;juandi2006yadi@gmail.com;47;Cape Verde;imageUser/Alejandra.png; 4;Gran Turismo;10
Paula;Paula123@;jgomezvi@unbosque.edu.co;37;Palestinian Territories;imageUser/Paula.png; 3;Rocket League;14

