juan;Juanmi2006b1;jmbuitragog@unbossque.edu.co;14;Antigua & Barbuda;imageUser/juan.png;two;FIFA;4
asdasd;3106Juancho#;juandi2006yadi@gmail.com;4;United Arab Emirates;imageUser/asdasd.png;three;Rocket League;23112
juan22;Juanmi20061@;juanmi@gmail.com;21;Congo - Brazzaville;imageUser/juan22.png; 3;Rocket League;8
migueldose;Juanmi2006@@;juanmibuga@gmail.com;10;Albania;imageUser/migueldose.png; 4;Rocket League;6
ollita;Ollita222@;jmbuitragog@unbosque.edu.co;18;Albania;imageUser/ollita.png; 3;Formula1;10
JuanSiego;3106Juancho#;jdilopezg@unbosque.edu.co;18;Colombia;imageUser/JuanSiego.png; 5;FIFA;10
pablo;Pablo2121@;juanmibuga@gmail.com;32;Monaco;imageUser/pablo.png; 4;Gran Turismo;9
jose;Josefina55@;juanmibuga@gmail.com;46;Ethiopia;imageUser/jose.png; 7;Formula1;14
mariano;Mariano2006@;jdilopezg@unbosque.edu.co;31;Macao SAR China;imageUser/mariano.png; 2;Formula1;9
josepo;Josepo1@;jdilopezg@unbosque.edu.co;18;St. Helena;imageUser/josepo.png; 3;Rocket League;9
mario;Mario123;mario@mail.com;25;Colombia;5 años;LOL;mario.png;3
mario;Mario123;mario@mail.com;25;Colombia;5 años;LOL;mario.png;3
mario;Mario123;mario@mail.com;25;Colombia;5 años;LOL;mario.png;3

